Albumn,Artist,Release date,Genre,Label,Meta_Score
Jupiter Calling,The Corrs,Nov 10 2017,['Irish'],['East West'],58
Kid Kruschev,Sleigh Bells,Nov 10 2017,['Pop/Rock'],[],65
Out of Range,Gun Outfit,Nov 10 2017,['Pop/Rock'],['Paradise of Bachelors'],81
reputation,Taylor Swift,Nov 10 2017,['Pop'],['Big Machine Records'],71
Automatic for the People [25th Anniversary Deluxe Edition],R.E.M.,Nov 10 2017,['Pop/Rock'],['Warner Music'],96
Phases,Angel Olsen,Nov 10 2017,['Pop/Rock'],['Jagjaguwar'],79
Interiors,Quicksand,Nov 10 2017,['Pop/Rock'],['Epitaph'],77
Anthropocene,Peter Oren,Nov 10 2017,['Folk'],['Western Vinyl Records'],77
Permo,Spinning Coin,Nov 10 2017,['Pop/Rock'],['Geographic'],75
Stranger,Yung Lean,Nov 10 2017,['Rap'],['Year0001'],63
Arpo,Call Super,Nov 10 2017,['Electronic'],['Houndstooth'],83
Introduction to Escape-Ism,Escape-Ism,Nov 10 2017,['Pop/Rock'],['Merge'],52
Lost in Light,Sumie,Nov 10 2017,['Folk'],['Bella Union'],63
Savage Young Dü [Box Set],Hüsker Dü,Nov 10 2017,['Pop/Rock'],['Numero'],90
L'Orange L'Orange,Gregg Kowalsky,Nov 10 2017,['Electronic'],['Mexican Summer'],77
Dark Eyed Messenger,Adrian Crowley,Nov 10 2017,['Pop/Rock'],['Chemikal Underground'],84
Synthesis,Evanescence,Nov 10 2017,['Pop/Rock'],['BMG'],69
Master of Puppets [Remastered & Expanded Edition],Metallica,Nov 10 2017,['Metal'],"['Universal ', ' Universal Distribution']",95
Rot,Bed Wettin' Bad Boys,Nov 10 2017,['Pop/Rock'],"[""What's Yr Rupture?""]",76
From the Fires,Greta Van Fleet,Nov 10 2017,['Pop/Rock'],['Republic'],64
The Moral Crossing,Autobahn,Nov 10 2017,['Pop/Rock'],['Tough Love'],78
"Lost at Last, Vol. 1",Langhorne Slim,Nov 10 2017,['Country'],['Dualtone Music'],68
Hesaitix,M.E.S.H.,Nov 10 2017,['Electronic'],['Pan'],79
Mount Qaf (Divine Love),Peter Matthew Bauer,Nov 10 2017,['Pop/Rock'],['Qoy'],75
Medicine Songs,Buffy Sainte-Marie,Nov 10 2017,['Folk'],['True North Records'],81
The Animal Spirits,James Holden & the Animal Spirits,Nov 3 2017,['Electronic'],['Border Community'],81
The Dusk in Us,Converge,Nov 3 2017,['Pop/Rock'],['Epitaph'],89
The  Thrill of It All,Sam Smith,Nov 3 2017,['Pop/Rock'],['Capitol'],72
Revelations,Shamir,Nov 3 2017,['Pop/Rock'],"['Father', 'Daughter Records']",70
Phantom Brickworks,Bibio,Nov 3 2017,['Electronic'],['Warp'],78
Scream Above the Sounds,Stereophonics,Nov 3 2017,['Pop/Rock'],"['Parlophone ', ' Warner Music']",57
Red Pill Blues,Maroon 5,Nov 3 2017,['Pop/Rock'],['Interscope'],58
American Fall,Anti-Flag,Nov 3 2017,['Pop/Rock'],['Spinefarm Records'],72
Ojalá,Lost Horizons,Nov 3 2017,['Pop/Rock'],['Bella Union'],81
Joli Mai,Daphni,Nov 3 2017,['Electronic'],['Jiaolong'],78
1982,Liima,Nov 3 2017,['Pop/Rock'],['City Slang'],73
Reworked by Detroiters,Funkadelic,Nov 3 2017,['R&B'],['Westbound'],77
"Trouble No More: The Bootleg Series, Vol. 13 1979-1981",Bob Dylan,Nov 3 2017,['Singer/Songwriter'],['Columbia'],88
The Desecration of Desire,Dave Clarke,Nov 3 2017,['Electronic'],['Skint Records'],73
Unapologetically,Kelsea Ballerini,Nov 3 2017,['Pop'],['Black River Entertainment'],74
Wild and Reckless,Blitzen Trapper,Nov 3 2017,['Pop/Rock'],['Lojinx'],69
Bridges Not Walls [EP],Billy Bragg,Nov 3 2017,['Folk'],['Cooking Vinyl'],71
No Luscious Life,Golden Teacher,Nov 3 2017,['Pop/Rock'],['Golden Teacher'],74
Warhaus,Warhaus,Nov 3 2017,['Pop/Rock'],['PIAS'],70
U-Men,U-Men,Nov 3 2017,['Grunge'],['Sub Pop'],86
Reflection of Youth,Eera,Nov 3 2017,['Pop/Rock'],['Big Dada'],73
Tokorats,Jonti,Nov 3 2017,['Pop/Rock'],['Stones Throw'],76
Les Fleurs du Mal,Rabit,Nov 3 2017,['Electronic'],['Halcyon Veil'],71
With a Beaker on the Burner & An Otter in the Oven,Alvarius B.,Nov 3 2017,['Pop/Rock'],['Abduction'],84
Without Warning,21 Savage,Oct 31 2017,['Rap'],['Epic'],78
Birdie,"Slaughter Beach, Dog",Oct 27 2017,['Pop/Rock'],['Lame-O Records'],70
Turn Out the Lights,Julien Baker,Oct 27 2017,['Pop/Rock'],['Matador'],83
Pacific Daydream,Weezer,Oct 27 2017,['Pop/Rock'],['Atlantic'],64
Screen Memories,John Maus,Oct 27 2017,['Pop/Rock'],['Ribbon Music'],78
Prince of Tears,Baxter Dury,Oct 27 2017,['Pop/Rock'],['Le Label'],78
World Wide Funk,Bootsy Collins,Oct 27 2017,['R&B'],['Mascot Music'],70
New Shapes of Life,Martin Carr,Oct 27 2017,['Pop/Rock'],['Tapete Records'],71
"The Lonely, The Lonesome & The Gone",Lee Ann Womack,Oct 27 2017,['Country'],['ATO'],77
Between the Earth & Sky,Lankum,Oct 27 2017,['Pop/Rock'],['Rough Trade'],90
Meaning of Life,Kelly Clarkson,Oct 27 2017,['Pop/Rock'],['Atlantic'],73
Nat King Cole & Me,Gregory Porter,Oct 27 2017,['Jazz'],['Blue Note'],71
Face Your Fear,Curtis Harding,Oct 27 2017,['R&B'],['Anti-'],80
Black Notes From the Deep,Courtney Pine,Oct 27 2017,['Jazz'],['Virtual Label'],80
The  Canyon,The Used,Oct 27 2017,['Pop/Rock'],['Hopeless Records'],75
Milano,Daniele Luppi,Oct 27 2017,['Pop/Rock'],['Columbia'],77
4eva Is a Mighty Long Time,Big K.R.I.T.,Oct 27 2017,['Rap'],['BMG'],80
Beach House III,Ty Dolla $ign,Oct 27 2017,['R&B'],['Atlantic'],77
Plunge,Fever Ray,Oct 27 2017,['Pop/Rock'],['Mute'],87
Belief System,Special Request,Oct 27 2017,['Electronic'],['Houndstooth'],75
Livity,Zombie Zombie,Oct 27 2017,['Electronic'],['Aboveboard Music'],68
The Queen Is Dead [Deluxe Edition),The Smiths,Oct 20 2017,['Pop/Rock'],"['Rhino ', ' Warner Bros.']",99
Punk Drunk And Trembling [EP],Wild Beasts,Oct 20 2017,['Pop/Rock'],"['Domino ', ' Domino Recording Co. Ltd.']",78
Losing,Bully,Oct 20 2017,['Pop/Rock'],['Sub Pop Records'],74
It's Alright Between Us as It Is,Lindstrøm,Oct 20 2017,['Electronic'],['Smalltown Supersound'],74
Ken,Destroyer,Oct 20 2017,['Pop/Rock'],['Merge'],78
All American Made,Margo Price,Oct 20 2017,['Country'],['Third Man Records'],82
Anthology: Movie Themes 1974-1998,John Carpenter,Oct 20 2017,['Pop/Rock'],['Sacred Bones'],78
Mnestic Pressure,Lee Gamble,Oct 20 2017,['Electronic'],['Hyperdub'],80
Adiós Señor Pussycat,Michael Head & The Red Elastic Band,Oct 20 2017,['Pop/Rock'],['Violette'],85
Even a Tree Can Shed Tears: Japanese Folk & Rock 1969-1973,Various Artists,Oct 20 2017,['Pop/Rock'],['Light in the Attic Records'],84
SpiderBeetleBee,Bill MacKay,Oct 20 2017,['Folk'],['Drag City'],82
Flicker,Niall Horan,Oct 20 2017,['Pop/Rock'],['Capitol'],64
Glasshouse,Jessie Ware,Oct 20 2017,['Pop/Rock'],['Interscope'],72
Backwater,Kllo,Oct 20 2017,['Electronic'],['Different'],76
The  Blood of Gods,GWAR,Oct 20 2017,['Heavy Metal'],['Metal Blade'],67
Reaching for Indigo,Circuit des Yeux,Oct 20 2017,['Pop/Rock'],['Drag City'],87
Mirror Reaper,Bell Witch,Oct 20 2017,['Pop/Rock'],['Profound Lore'],85
III,Makthaverskan,Oct 20 2017,['Pop/Rock'],['Run for Cover Records'],79
Any Other Way,Jackie Shane,Oct 20 2017,['R&B'],['Numero'],85
Open,Grandbrothers,Oct 20 2017,['Electronic'],['City Slang'],71
FR32,Wretch 32,Oct 20 2017,['Rap'],['Polydor'],61
Sab Se Purani Bab,Saicobab,Oct 20 2017,['Pop/Rock'],['Thrill Jockey'],78
"A  Flame My Love, a Frequency",Colleen,Oct 20 2017,['Electronic'],['Thrill Jockey'],80
Musik,William Eggleston,Oct 20 2017,['Classical'],['Secretly Canadian'],75
7 Days [Mixtape],Krept & Konan,Oct 20 2017,['Rap'],['Def Jam'],82
7 Nights [Mixtape],Krept & Konan,Oct 20 2017,['Rap'],['Def Jam'],75
The Endless Shimmering,And So I Watch You from Afar,Oct 20 2017,['Pop/Rock'],['Sargent House'],77
Value,Visionist,Oct 20 2017,['Electronic'],['Big Dada'],69
Mechanics of Dominion,Esmerine,Oct 20 2017,['Pop/Rock'],['Constellation'],83
The Wasted Years [Box Set],The Jazz Butcher,Oct 20 2017,['Pop/Rock'],['Fire Records'],79
Solo: Reflections and Meditations on Monk,Wadada Leo Smith,Oct 20 2017,['Jazz'],['TUM Records'],74
A Long Way from Your Heart,Turnpike Troubadours,Oct 20 2017,['Pop'],['Bossier City Records'],84
Two Trains,Hogni,Oct 20 2017,['Pop/Rock'],['Erased Tapes Records'],65
Afternooners,Patrick Cowley,Oct 20 2017,['Pop/Rock'],['Dark Entries'],86
Super Slimey [Mixtape],Future,Oct 20 2017,['Rap'],['RCA'],66
The Emancipation Procrastination,Christian Scott,Oct 20 2017,['Jazz'],['Ropeadope'],83
Flat Worms,Flat Worms,Oct 20 2017,['Pop/Rock'],['Castle Face'],76
The Knowledge,Squeeze,Oct 13 2017,['Pop/Rock'],['Love Records'],81
Nothing Valley,Melkbelly,Oct 13 2017,['Pop/Rock'],['Wax Nine Records'],78
Carry Fire,Robert Plant,Oct 13 2017,['Folk'],['Nonesuch'],84
Going Grey,The Front Bottoms,Oct 13 2017,['Pop/Rock'],['Fueled By Ramen'],78
Ogilala,William Patrick Corgan,Oct 13 2017,['Pop/Rock'],['BMG Rights Management'],70
Colors,Beck,Oct 13 2017,['Pop/Rock'],['Capitol'],72
Masseduction,St. Vincent,Oct 13 2017,['Pop/Rock'],['Loma Vista'],88
Lotta Sea Lice,Courtney Barnett,Oct 13 2017,['Pop/Rock'],['Matador'],79
The Ooz,King Krule,Oct 13 2017,['Pop/Rock'],['True Panther Sounds'],80
Queens of the Breakers,The Barr Brothers,Oct 13 2017,['Folk'],['Secret City Records'],77
Rationale,Rationale,Oct 13 2017,['Pop/Rock'],['Warner Bros.'],72
Daylight,The Selecter,Oct 13 2017,['Pop/Rock'],['DMF Music'],71
There Is No Love in Fluorescent Light,Stars,Oct 13 2017,['Alternative/Indie Rock'],['Last Gang Records'],79
Beautiful Trauma,P!nk,Oct 13 2017,['Pop'],['RCA'],62
The Saga Continues,Wu-Tang,Oct 13 2017,['Rap'],['eOne'],64
Shapeshifter,Knuckle Puck,Oct 13 2017,['Pop/Rock'],"['BMG ', ' Rise Records']",84
Mr. Davis,Gucci Mane,Oct 13 2017,['Rap'],['Atlantic'],77
Dissolve,TUSKS,Oct 13 2017,['Electronic'],['One Little Indian'],75
Afterglow,Jon Boden,Oct 13 2017,['Folk'],['Hudson'],59
Sketches of Brunswick East,King Gizzard & the Lizard Wizard,Oct 13 2017,['Pop/Rock'],['ATO'],79
The Wild,The Rural Alberta Advantage,Oct 13 2017,['Pop/Rock'],['Paper Bag Records'],82
Rat Film [Original Motion Picture Soundtrack],Dan Deacon,Oct 13 2017,['Avant-Garde'],['Domino'],61
Murderburgers,King Khan,Oct 13 2017,['Pop/Rock'],['Ernest Jenning'],77
The Book of Law,Lawrence Rothman,Oct 13 2017,['Pop/Rock'],['Interscope'],72
Morning After,dvsn,Oct 13 2017,['R&B'],['Warner Bros.'],74
Woody Guthrie: The Tribute Concerts,Woody Guthrie,Oct 13 2017,['Folk'],['Bear Family Records'],84
As You Were,Liam Gallagher,Oct 6 2017,['Pop/Rock'],['Warner Bros.'],71
Fatherland,Kele Okereke,Oct 6 2017,['Pop/Rock'],"['BMG ', ' BMG Rights Management']",66
As You Please,Citizen,Oct 6 2017,['Pop/Rock'],['Run for Cover Records'],77
Undivided Heart & Soul,JD McPherson,Oct 6 2017,['Pop/Rock'],['New West Records'],75
Realisationship,Andrew Hung,Oct 6 2017,['Pop/Rock'],['Lex Records'],62
I Tell a Fly,Benjamin Clementine,Oct 6 2017,['Pop/Rock'],['Virgin'],80
Cry Cry Cry,Wolf Parade,Oct 6 2017,['Pop/Rock'],['Sub Pop'],82
IN///PARALLEL,Dhani Harrison,Oct 6 2017,['Pop/Rock'],['BMG'],74
The Weather Station,The Weather Station,Oct 6 2017,['Pop/Rock'],['Paradise of Bachelors'],85
Jersey Devil,Ducktails,Oct 6 2017,['Pop/Rock'],['New Images'],72
Pinewood Smile,The Darkness,Oct 6 2017,['Heavy Metal'],['Cooking Vinyl'],71
Rule 62,Whitney Rose,Oct 6 2017,['Country'],['Six Shooter Records'],73
The Kid,Kaitlyn Aurelia Smith,Oct 6 2017,['Pop/Rock'],['Western Vinyl Records'],82
Heaven Upside Down,Marilyn Manson,Oct 6 2017,['Pop/Rock'],['Loma Vista'],71
Willowbank,Yumi Zouma,Oct 6 2017,['Pop/Rock'],['Cascine'],76
French Touch,Carla Bruni,Oct 6 2017,['Pop/Rock'],['Verve'],62
Take Me Apart,Kelela,Oct 6 2017,['R&B'],['Warp'],84
Phantom Anthem,August Burns Red,Oct 6 2017,['Pop/Rock'],['Fearless Records'],82
Nightbringers,The Black Dahlia Murder,Oct 6 2017,['Pop/Rock'],['Metal Blade'],85
Tenderness,Blue Hawaii,Oct 6 2017,['Electronic'],['Arbutus Records'],78
Offering,Cults,Oct 6 2017,['Pop/Rock'],['Omnian'],71
I Love You Like a Brother,Alex Lahey,Oct 6 2017,['Pop/Rock'],['Dead Oceans Records'],80
Arise,Zara McFarlane,Oct 6 2017,['Jazz'],['Brownswood'],87
Wide Open,Weaves,Oct 6 2017,['Pop/Rock'],['Kanine Records'],75
For Sale: Live at Maxwell's 1986,The Replacements,Oct 6 2017,['Pop/Rock'],['Sire'],86
Eternal Recurrence,Deradoorian,Oct 6 2017,['Pop/Rock'],['Anticon'],72
The Curious Hand,Seamus Fogarty,Oct 6 2017,['Pop/Rock'],['Domino'],84
HEAVN,Jamila Woods,Oct 6 2017,['R&B'],['Jagjaguwar'],83
King of the Boogie [Craft] [Box Set],John Lee Hooker,Oct 6 2017,['Blues'],['Concord'],90
Lilies,Melanie De Biasio,Oct 6 2017,['Jazz'],['Le Label'],81
Boxing the Moonlight,Mister Heavenly,Oct 6 2017,['Pop/Rock'],['Polyvinyl'],70
The New Monday,Shigeto,Oct 6 2017,['Electronic'],['Ghostly International'],72
DJ-Kicks,Lone,Oct 6 2017,['Electronic'],['!K7'],77
Tommy [EP],Klein,Oct 6 2017,['Electronic'],['Hyperdub'],83
For Paris,Levon Vincent,Oct 2 2017,['Electronic'],[],79
Always Foreign,The World Is a Beautiful Place & I Am No Longer Afraid to Die,Sep 29 2017,['Pop/Rock'],['Epitaph'],80
The Centre Cannot Hold,Ben Frost,Sep 29 2017,['Electronic'],['Mute'],75
Visions of a Life,Wolf Alice,Sep 29 2017,['Pop/Rock'],['RCA'],81
Relatives in Descent,Protomartyr,Sep 29 2017,['Pop/Rock'],['Domino'],85
20 Years in a Montana Missile Silo,Pere Ubu,Sep 29 2017,['Pop/Rock'],['Cherry Red'],78
Death Had Quicker Wings Than Love,Marry Waterson,Sep 29 2017,['Folk'],['One Little Indian'],84
Three Futures,Torres,Sep 29 2017,['Pop/Rock'],['4AD'],79
Younger Now,Miley Cyrus,Sep 29 2017,['Pop'],['RCA'],58
Loney Dear,Loney Dear,Sep 29 2017,['Pop/Rock'],['Real World Records'],69
Now,Shania Twain,Sep 29 2017,['Country'],['Mercury Nashville'],58
Harmony of Difference [EP],Kamasi Washington,Sep 29 2017,['Jazz'],['Young Turks'],81
Sky Trails,David Crosby,Sep 29 2017,['Folk'],['BMG'],76
The Desaturating Seven,Primus,Sep 29 2017,['Pop/Rock'],['ATO'],68
Ash,Ibeyi,Sep 29 2017,['Pop/Rock'],['XL'],78
Desire,Hurts,Sep 29 2017,['Alternative/Indie Rock'],['Sony Music Entertainment'],61
Qualia,Andrew Weatherall,Sep 29 2017,['Electronic'],['Höga Nord Rekords'],73
Tell Me You Love Me,Demi Lovato,Sep 29 2017,['Pop'],['Island'],72
A New Career in a New Town (1977-1982) [Box Set],David Bowie,Sep 29 2017,['Pop/Rock'],['Parlophone'],85
Sorry Is Gone,Jessica Lea Mayfield,Sep 29 2017,['Pop/Rock'],['ATO'],84
Part 2,Brix & the Extricated,Sep 29 2017,['Pop/Rock'],['Blang'],69
Neō Wax Bloom,Iglooghost,Sep 29 2017,['Electronic'],['Brainfeeder'],83
Sterilize,Unsane,Sep 29 2017,['Pop/Rock'],['Southern Lord Records'],77
New Energy,Four Tet,Sep 29 2017,['Electronic'],['Temporary Residence'],86
Is Alive & Well & Living in Buenos Aires: Heavy Frenz the Solo Anthology 2001-2017,Luke Haines,Sep 29 2017,['Britpop'],['Cherry Red'],79
Mary Casio: Journey to Cassiopeia,Hannah Peel,Sep 29 2017,['Electronic'],['My Own Pleasure'],82
Dreams and Daggers,Cécile McLorin Salvant,Sep 29 2017,['Jazz'],['Mack Avenue'],89
This Sweet Old World,Lucinda Williams,Sep 29 2017,['Country'],['Highway 20 Records'],86
Gossip,Sleeping with Sirens,Sep 22 2017,['Pop/Rock'],['Warner Bros.'],74
V,The Horrors,Sep 22 2017,['Pop/Rock'],['Caroline'],87
Music for the Age of Miracles,The Clientele,Sep 22 2017,['Pop/Rock'],['Merge'],80
Strange Peace,METZ,Sep 22 2017,['Pop/Rock'],['Sub Pop'],78
Hallelujah Anyhow,Hiss Golden Messenger,Sep 22 2017,['Pop/Rock'],['Merge'],80
Stranger in the Alps,Phoebe Bridgers,Sep 22 2017,['Pop/Rock'],['Dead Oceans Records'],82
Thrice Woven,Wolves in the Throne Room,Sep 22 2017,['Pop/Rock'],['Artemisia'],76
Wonderful Wonderful,The Killers,Sep 22 2017,['Pop/Rock'],['Island'],71
Haiku from Zero,Cut Copy,Sep 22 2017,['Pop/Rock'],['Astralwerks'],62
Hiss Spun,Chelsea Wolfe,Sep 22 2017,['Alternative/Indie Rock'],['Sargent House'],81
Plum,Wand,Sep 22 2017,['Folk'],['Drag City'],76
Luciferian Towers,Godspeed You! Black Emperor,Sep 22 2017,['Pop/Rock'],['Constellation'],76
Aromanticism,Moses Sumney,Sep 22 2017,['Pop/Rock'],['Jagjaguwar'],85
ununiform,Tricky,Sep 22 2017,['Electronic'],['!K7'],71
Cryptoriana: The Seductiveness of Decay,Cradle of Filth,Sep 22 2017,['Pop/Rock'],['Nuclear Blast'],77
A Sentimental Education,Luna,Sep 22 2017,['Pop/Rock'],['Double Feature'],75
La Confusion,Amadou & Mariam,Sep 22 2017,['International'],['Because Music'],80
The Spark,Enter Shikari,Sep 22 2017,['Pop/Rock'],['PIAS'],74
BRVNX (V),The Bronx,Sep 22 2017,['Alternative/Indie Rock'],['ATO'],66
Gemini,Macklemore,Sep 22 2017,['Rap'],['Bendo LLC'],63
Multi-Task,Omni,Sep 22 2017,['Pop/Rock'],['Trouble in Mind'],74
Fool's Paradise,Cold Specks,Sep 22 2017,['Pop/Rock'],['Arts & Crafts'],73
The Amulet,Circa Survive,Sep 22 2017,['Emo'],['Hopeless Records'],70
Everybody Knows,Stephen Stills,Sep 22 2017,['Pop/Rock'],['Wildflower'],64
I'm a Harmony,Linda Perhacs,Sep 22 2017,['Folk'],['Omnivore'],81
Ease My Mind,Shout Out Louds,Sep 22 2017,['Pop/Rock'],['Merge'],69
Bring on the Sun,Laraaji,Sep 22 2017,['New Age'],['All Saints'],76
Roll with the Punches,Van Morrison,Sep 22 2017,['R&B'],['Caroline'],69
Gathering,Josh Ritter,Sep 22 2017,['Folk'],['Pytheas Recordings'],88
